id,paper_doi,paper_title,paper_year,system_type,parameter_name,parameter_category,parameter_subcategory,extracted_value,numeric_value,parameter_unit,has_numeric_value,confidence,extraction_method,source_section,is_verified,verified_mes_paper
8ba42867639eb2c21dae8498bb7c61304ef65680ca092694ec333549a5b4988d-ph,10.1002/9781394242962.ch5,,,,pH,ENVIRONMENTAL,general,0,0,-,t,0.6,regex,abstract,f,t
8ba42867639eb2c21dae8498bb7c61304ef65680ca092694ec333549a5b4988d-ph,10.1002/9781394242962.ch5,,,,pH,ENVIRONMENTAL,general,105,105,-,t,0.6,regex,abstract,f,t
8ba42867639eb2c21dae8498bb7c61304ef65680ca092694ec333549a5b4988d-ph,10.1002/9781394242962.ch5,,,,pH,ENVIRONMENTAL,general,962,962,-,t,0.6,regex,abstract,f,t
cb8240c5588af95d20761fac827af6d66d72deacb14bb968e3de43ffc91f0d6a-ph,10.1002/adma.202109442,Solution‐Deposited and Patternable Conductive Polymer Thin‐Film Electrodes for Microbial Bioelectronics,2022,MFC,pH,ENVIRONMENTAL,general,4,4,-,t,0.6,regex,introduction,f,t
cb8240c5588af95d20761fac827af6d66d72deacb14bb968e3de43ffc91f0d6a-ph,10.1002/adma.202109442,Solution‐Deposited and Patternable Conductive Polymer Thin‐Film Electrodes for Microbial Bioelectronics,2022,MFC,pH,ENVIRONMENTAL,general,2,2,-,t,0.6,regex,introduction,f,t
cb8240c5588af95d20761fac827af6d66d72deacb14bb968e3de43ffc91f0d6a-ph,10.1002/adma.202109442,Solution‐Deposited and Patternable Conductive Polymer Thin‐Film Electrodes for Microbial Bioelectronics,2022,MFC,pH,ENVIRONMENTAL,general,10,10,-,t,0.6,regex,results,f,t
cb8240c5588af95d20761fac827af6d66d72deacb14bb968e3de43ffc91f0d6a-ph,10.1002/adma.202109442,Solution‐Deposited and Patternable Conductive Polymer Thin‐Film Electrodes for Microbial Bioelectronics,2022,MFC,pH,ENVIRONMENTAL,general,-3,-3,-,t,0.6,regex,results,f,t
cb8240c5588af95d20761fac827af6d66d72deacb14bb968e3de43ffc91f0d6a-ph,10.1002/adma.202109442,Solution‐Deposited and Patternable Conductive Polymer Thin‐Film Electrodes for Microbial Bioelectronics,2022,MFC,pH,ENVIRONMENTAL,general,-2,-2,-,t,0.6,regex,results,f,t
cb8240c5588af95d20761fac827af6d66d72deacb14bb968e3de43ffc91f0d6a-substrate,10.1002/adma.202109442,Solution‐Deposited and Patternable Conductive Polymer Thin‐Film Electrodes for Microbial Bioelectronics,2022,MFC,substrate,BIOLOGICAL,general,2,2,-,t,0.6,regex,results,f,t
cb8240c5588af95d20761fac827af6d66d72deacb14bb968e3de43ffc91f0d6a-substrate,10.1002/adma.202109442,Solution‐Deposited and Patternable Conductive Polymer Thin‐Film Electrodes for Microbial Bioelectronics,2022,MFC,substrate,BIOLOGICAL,general,4,4,-,t,0.6,regex,conclusion,f,t
